yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,locationid,topicid,questionid,responseid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2019,2019,AR,Arkansas,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,13.6,13.6,,,12.1,15.4,Sex,Male,,,,,POINT (-92.27449074299966 34.74865012400045),5,DIA,DIA01,,CRDPREV,SEX,SEXM,,,,
2019,2019,ID,Idaho,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,10.6,10.6,,,9.1,12.2,Sex,Male,,,,,POINT (-114.3637300419997 43.682630005000476),16,DIA,DIA01,,CRDPREV,SEX,SEXM,,,,
2019,2019,IN,Indiana,YRBSS,Sleep,Short sleep duration among high school students,,%,Crude Prevalence,,,*,No data available,,,Grade,Grade 12,,,,,POINT (-86.14996019399968 39.766910452000445),18,SLEP,SLP02,,CRDPREV,GRADE,GRD12,,,,
2019,2019,IA,Iowa,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,54,54,,,,,Overall,Overall,,,,,POINT (-93.81649055599968 42.46940091300047),19,AST,AST01,,NMBR,OVERALL,OVR,,,,
2019,2019,IA,Iowa,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,10.3,10.3,,,9.1,11.7,Age,Age 18-44,,,,,POINT (-93.81649055599968 42.46940091300047),19,AST,AST02,,CRDPREV,AGE,AGE1844,,,,
2019,2019,IA,Iowa,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,54,54,,,,,Age,Age 0-44,,,,,POINT (-93.81649055599968 42.46940091300047),19,DIA,DIA03,,NMBR,AGE,AGE0_44,,,,
2019,2019,IA,Iowa,BRFSS,Health Status,Recent activity limitation among adults,,Number,Crude Mean,2.3,2.3,,,2.1,2.5,Sex,Female,,,,,POINT (-93.81649055599968 42.46940091300047),19,HEA,HEA04,,CRDMEAN,SEX,SEXF,,,,
2019,2019,IA,Iowa,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,31,31,,,20.6,43.7,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-93.81649055599968 42.46940091300047),19,MEN,MEN02,,CRDPREV,RACE,MRC,,,,
2019,2019,KS,Kansas,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,524,524,,,,,Age,Age 45-64,,,,,POINT (-98.20078122699965 38.34774030000045),20,DIA,DIA03,,NMBR,AGE,AGE4564,,,,
2019,2019,LA,Louisiana,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,29.3,29.3,,,20.7,39.6,Race/Ethnicity,Hispanic,,,,,POINT (-92.44568007099969 31.31266064400046),22,MEN,MEN02,,CRDPREV,RACE,HIS,,,,
2019,2019,MD,Maryland,YRBSS,Alcohol,Alcohol use among high school students,,%,Crude Prevalence,21,21,,,19.6,22.4,Sex,Male,,,,,POINT (-76.60926011099963 39.29058096400047),24,ALC,ALC01,,CRDPREV,SEX,SEXM,,,,
